vendor,series,display_name,target_config,device_type,classification_status,part_number
NXP,IMX6,Imx6,tcl/target/imx6.cfg,MCU,Auto-classified,
NXP,IMX6SX,Imx6Sx,tcl/target/imx6sx.cfg,MCU,Auto-classified,
NXP,IMX6UL,Imx6Ul,tcl/target/imx6ul.cfg,MCU,Auto-classified,
NXP,IMX7,Imx7,tcl/target/imx7.cfg,MCU,Auto-classified,
NXP,IMX7ULP,Imx7Ulp,tcl/target/imx7ulp.cfg,MCU,Auto-classified,
NXP,IMX8M,Imx8M,tcl/target/imx8m.cfg,MCU,Auto-classified,
NXP,IMX8MP,Imx8Mp,tcl/target/imx8mp.cfg,MCU,Auto-classified,
NXP,IMX8QM,Imx8Qm,tcl/target/imx8qm.cfg,MCU,Auto-classified,
Infineon,TLE987X,Tle987X,tcl/target/infineon/tle987x.cfg,MCU,Auto-classified,
Unclassified,IS5114,Is5114,tcl/target/is5114.cfg,Unknown,Needs review,
Unclassified,IXP42X,Ixp42X,tcl/target/ixp42x.cfg,Unknown,Needs review,
NXP,K1921VK01T,K1921Vk01T,tcl/target/k1921vk01t.cfg,MCU,Auto-classified,
NXP,K40,K40,tcl/target/k40.cfg,MCU,Auto-classified,
NXP,K60,K60,tcl/target/k60.cfg,MCU,Auto-classified,
NXP,KE0X,Ke0X,tcl/target/ke0x.cfg,MCU,Auto-classified,
NXP,KE1XF,Ke1Xf,tcl/target/ke1xf.cfg,MCU,Auto-classified,
NXP,KE1XZ,Ke1Xz,tcl/target/ke1xz.cfg,MCU,Auto-classified,
NXP,KL25,Kl25,tcl/target/kl25.cfg,MCU,Auto-classified,
NXP,KL46,Kl46,tcl/target/kl46.cfg,MCU,Auto-classified,
Unclassified,KLX,Klx,tcl/target/klx.cfg,Unknown,Internal/helper,
Unclassified,KS869X,Ks869X,tcl/target/ks869x.cfg,Unknown,Needs review,
Unclassified,KX,Kx,tcl/target/kx.cfg,Unknown,Internal/helper,
NXP,LPC11,Lpc11Xx,tcl/target/lpc11xx.cfg,MCU,Auto-classified,
NXP,LPC12,Lpc12Xx,tcl/target/lpc12xx.cfg,MCU,Auto-classified,
NXP,LPC13,Lpc13Xx,tcl/target/lpc13xx.cfg,MCU,Auto-classified,
NXP,LPC17,Lpc17Xx,tcl/target/lpc17xx.cfg,MCU,Auto-classified,
NXP,LPC18,Lpc1850,tcl/target/lpc1850.cfg,MCU,Auto-classified,
NXP,LPC1XXX,Lpc1Xxx,tcl/target/lpc1xxx.cfg,MCU,Internal/helper,
NXP,LPC21,Lpc2103,tcl/target/lpc2103.cfg,MCU,Auto-classified,
NXP,LPC21,Lpc2124,tcl/target/lpc2124.cfg,MCU,Auto-classified,
NXP,LPC21,Lpc2129,tcl/target/lpc2129.cfg,MCU,Auto-classified,
NXP,LPC21,Lpc2148,tcl/target/lpc2148.cfg,MCU,Auto-classified,
NXP,LPC22,Lpc2294,tcl/target/lpc2294.cfg,MCU,Auto-classified,
NXP,LPC23,Lpc2378,tcl/target/lpc2378.cfg,MCU,Auto-classified,
NXP,LPC24,Lpc2460,tcl/target/lpc2460.cfg,MCU,Auto-classified,
NXP,LPC24,Lpc2478,tcl/target/lpc2478.cfg,MCU,Auto-classified,
NXP,LPC29,Lpc2900,tcl/target/lpc2900.cfg,MCU,Auto-classified,
NXP,LPC2XXX,Lpc2Xxx,tcl/target/lpc2xxx.cfg,MCU,Internal/helper,
NXP,LPC31,Lpc3131,tcl/target/lpc3131.cfg,MCU,Auto-classified,
NXP,LPC32,Lpc3250,tcl/target/lpc3250.cfg,MCU,Auto-classified,
NXP,LPC40,Lpc40Xx,tcl/target/lpc40xx.cfg,MCU,Auto-classified,
NXP,LPC43,Lpc4350,tcl/target/lpc4350.cfg,MCU,Auto-classified,
NXP,LPC43,Lpc4357,tcl/target/lpc4357.cfg,MCU,Auto-classified,
NXP,LPC43,Lpc4370,tcl/target/lpc4370.cfg,MCU,Auto-classified,
NXP,LPC84,Lpc84X,tcl/target/lpc84x.cfg,MCU,Auto-classified,
NXP,LPC8NXX,Lpc8Nxx,tcl/target/lpc8nxx.cfg,MCU,Auto-classified,
NXP,LPC8XX,Lpc8Xx,tcl/target/lpc8xx.cfg,MCU,Auto-classified,
NXP,LS1012A,Ls1012A,tcl/target/ls1012a.cfg,SoC,Auto-classified,
NXP,LS1028A,Ls1028A,tcl/target/ls1028a.cfg,SoC,Auto-classified,
NXP,LS1046A,Ls1046A,tcl/target/ls1046a.cfg,SoC,Auto-classified,
NXP,LS1088A,Ls1088A,tcl/target/ls1088a.cfg,SoC,Auto-classified,
