vendor,family,subfamily,part_number,identifier_kind,cmsis_device,target_config,cpu_architectures,flash_drivers,openocd_distribution,openocd_commit,source_pack_vendor,source_pack_name,source_pack_version,source_kind,source_url,source_content_sha256,mapping_rule_id,mapping_status,validation_status
Artery,AT32,,AT32F415C8T7,manufacturer_part_number,AT32F415C8T7,tcl/target/artery/at32f4x.cfg,"[""ARM Cortex-M""]","[""artery""]",upstream-openocd,56b8d93fbe61a78dc903d770820d6d896b6d8134,ArteryTek,PlatformIO-boards,7313140183db3ca5e74e723c2abcc4da82992dc5,vendor_board_archive,https://github.com/ArteryTek/platform-arterytekat32/archive/7313140183db3ca5e74e723c2abcc4da82992dc5.tar.gz,90f20a664462528fdf414d0833a1e5f70b6cc2edcbf3ae154b3cc8ad131a419a,artery-at32f4,mapping_candidate,not_verified
Artery,AT32,,AT32F415CBT7,manufacturer_part_number,AT32F415CBT7,tcl/target/artery/at32f4x.cfg,"[""ARM Cortex-M""]","[""artery""]",upstream-openocd,56b8d93fbe61a78dc903d770820d6d896b6d8134,ArteryTek,PlatformIO-boards,7313140183db3ca5e74e723c2abcc4da82992dc5,vendor_board_archive,https://github.com/ArteryTek/platform-arterytekat32/archive/7313140183db3ca5e74e723c2abcc4da82992dc5.tar.gz,90f20a664462528fdf414d0833a1e5f70b6cc2edcbf3ae154b3cc8ad131a419a,artery-at32f4,mapping_candidate,not_verified
Artery,AT32,,AT32F415CBU7,manufacturer_part_number,AT32F415CBU7,tcl/target/artery/at32f4x.cfg,"[""ARM Cortex-M""]","[""artery""]",upstream-openocd,56b8d93fbe61a78dc903d770820d6d896b6d8134,ArteryTek,PlatformIO-boards,7313140183db3ca5e74e723c2abcc4da82992dc5,vendor_board_archive,https://github.com/ArteryTek/platform-arterytekat32/archive/7313140183db3ca5e74e723c2abcc4da82992dc5.tar.gz,90f20a664462528fdf414d0833a1e5f70b6cc2edcbf3ae154b3cc8ad131a419a,artery-at32f4,mapping_candidate,not_verified
Artery,AT32,,AT32F415CCT7,manufacturer_part_number,AT32F415CCT7,tcl/target/artery/at32f4x.cfg,"[""ARM Cortex-M""]","[""artery""]",upstream-openocd,56b8d93fbe61a78dc903d770820d6d896b6d8134,ArteryTek,PlatformIO-boards,7313140183db3ca5e74e723c2abcc4da82992dc5,vendor_board_archive,https://github.com/ArteryTek/platform-arterytekat32/archive/7313140183db3ca5e74e723c2abcc4da82992dc5.tar.gz,90f20a664462528fdf414d0833a1e5f70b6cc2edcbf3ae154b3cc8ad131a419a,artery-at32f4,mapping_candidate,not_verified
Artery,AT32,,AT32F415CCU7,manufacturer_part_number,AT32F415CCU7,tcl/target/artery/at32f4x.cfg,"[""ARM Cortex-M""]","[""artery""]",upstream-openocd,56b8d93fbe61a78dc903d770820d6d896b6d8134,ArteryTek,PlatformIO-boards,7313140183db3ca5e74e723c2abcc4da82992dc5,vendor_board_archive,https://github.com/ArteryTek/platform-arterytekat32/archive/7313140183db3ca5e74e723c2abcc4da82992dc5.tar.gz,90f20a664462528fdf414d0833a1e5f70b6cc2edcbf3ae154b3cc8ad131a419a,artery-at32f4,mapping_candidate,not_verified
Artery,AT32,,AT32F415K8U7-4,manufacturer_part_number,AT32F415K8U7-4,tcl/target/artery/at32f4x.cfg,"[""ARM Cortex-M""]","[""artery""]",upstream-openocd,56b8d93fbe61a78dc903d770820d6d896b6d8134,ArteryTek,PlatformIO-boards,7313140183db3ca5e74e723c2abcc4da82992dc5,vendor_board_archive,https://github.com/ArteryTek/platform-arterytekat32/archive/7313140183db3ca5e74e723c2abcc4da82992dc5.tar.gz,90f20a664462528fdf414d0833a1e5f70b6cc2edcbf3ae154b3cc8ad131a419a,artery-at32f4,mapping_candidate,not_verified
Artery,AT32,,AT32F415KBU7-4,manufacturer_part_number,AT32F415KBU7-4,tcl/target/artery/at32f4x.cfg,"[""ARM Cortex-M""]","[""artery""]",upstream-openocd,56b8d93fbe61a78dc903d770820d6d896b6d8134,ArteryTek,PlatformIO-boards,7313140183db3ca5e74e723c2abcc4da82992dc5,vendor_board_archive,https://github.com/ArteryTek/platform-arterytekat32/archive/7313140183db3ca5e74e723c2abcc4da82992dc5.tar.gz,90f20a664462528fdf414d0833a1e5f70b6cc2edcbf3ae154b3cc8ad131a419a,artery-at32f4,mapping_candidate,not_verified
Artery,AT32,,AT32F415KCU7-4,manufacturer_part_number,AT32F415KCU7-4,tcl/target/artery/at32f4x.cfg,"[""ARM Cortex-M""]","[""artery""]",upstream-openocd,56b8d93fbe61a78dc903d770820d6d896b6d8134,ArteryTek,PlatformIO-boards,7313140183db3ca5e74e723c2abcc4da82992dc5,vendor_board_archive,https://github.com/ArteryTek/platform-arterytekat32/archive/7313140183db3ca5e74e723c2abcc4da82992dc5.tar.gz,90f20a664462528fdf414d0833a1e5f70b6cc2edcbf3ae154b3cc8ad131a419a,artery-at32f4,mapping_candidate,not_verified
Artery,AT32,,AT32F415R8T7,manufacturer_part_number,AT32F415R8T7,tcl/target/artery/at32f4x.cfg,"[""ARM Cortex-M""]","[""artery""]",upstream-openocd,56b8d93fbe61a78dc903d770820d6d896b6d8134,ArteryTek,PlatformIO-boards,7313140183db3ca5e74e723c2abcc4da82992dc5,vendor_board_archive,https://github.com/ArteryTek/platform-arterytekat32/archive/7313140183db3ca5e74e723c2abcc4da82992dc5.tar.gz,90f20a664462528fdf414d0833a1e5f70b6cc2edcbf3ae154b3cc8ad131a419a,artery-at32f4,mapping_candidate,not_verified
Artery,AT32,,AT32F415RBT7,manufacturer_part_number,AT32F415RBT7,tcl/target/artery/at32f4x.cfg,"[""ARM Cortex-M""]","[""artery""]",upstream-openocd,56b8d93fbe61a78dc903d770820d6d896b6d8134,ArteryTek,PlatformIO-boards,7313140183db3ca5e74e723c2abcc4da82992dc5,vendor_board_archive,https://github.com/ArteryTek/platform-arterytekat32/archive/7313140183db3ca5e74e723c2abcc4da82992dc5.tar.gz,90f20a664462528fdf414d0833a1e5f70b6cc2edcbf3ae154b3cc8ad131a419a,artery-at32f4,mapping_candidate,not_verified
