vendor,series,target_config,device_type,classification_status,capability_status,capability_reason,flash_drivers,flash_banks,include_graph,openocd_distribution,openocd_commit,validation_status
Microchip,AT91SAM3NX,tcl/target/at91sam3nXX.cfg,MCU,Auto-classified,flash_driver_declared,Concrete OpenOCD Flash driver resolved statically,"[""at91sam3""]","[{""declaration_file"":""tcl/target/at91sam3nXX.cfg"",""bank"":""flash0"",""driver"":""at91sam3"",""base"":""0x00400000""}]","[""tcl/target/at91sam3nXX.cfg"",""tcl/target/swj-dp.tcl""]",upstream-openocd,56b8d93fbe61a78dc903d770820d6d896b6d8134,not_verified
Microchip,AT91SAM3SX,tcl/target/at91sam3sXX.cfg,MCU,Auto-classified,flash_driver_declared,Concrete OpenOCD Flash driver resolved statically,"[""at91sam3""]","[{""declaration_file"":""tcl/target/at91sam3sXX.cfg"",""bank"":""$_FLASHNAME"",""driver"":""at91sam3"",""base"":""0x00400000""}]","[""tcl/target/at91sam3sXX.cfg"",""tcl/target/at91sam3XXX.cfg"",""tcl/target/swj-dp.tcl""]",upstream-openocd,56b8d93fbe61a78dc903d770820d6d896b6d8134,not_verified
Microchip,AT91SAM3U1C,tcl/target/at91sam3u1c.cfg,MCU,Auto-classified,flash_driver_declared,Concrete OpenOCD Flash driver resolved statically,"[""at91sam3""]","[{""declaration_file"":""tcl/target/at91sam3u1c.cfg"",""bank"":""$_FLASHNAME"",""driver"":""at91sam3"",""base"":""0x000080000""}]","[""tcl/target/at91sam3u1c.cfg"",""tcl/target/at91sam3uxx.cfg"",""tcl/target/at91sam3XXX.cfg"",""tcl/target/swj-dp.tcl""]",upstream-openocd,56b8d93fbe61a78dc903d770820d6d896b6d8134,not_verified
Microchip,AT91SAM3U1E,tcl/target/at91sam3u1e.cfg,MCU,Auto-classified,flash_driver_declared,Concrete OpenOCD Flash driver resolved statically,"[""at91sam3""]","[{""declaration_file"":""tcl/target/at91sam3u1e.cfg"",""bank"":""$_FLASHNAME"",""driver"":""at91sam3"",""base"":""0x000080000""}]","[""tcl/target/at91sam3u1e.cfg"",""tcl/target/at91sam3uxx.cfg"",""tcl/target/at91sam3XXX.cfg"",""tcl/target/swj-dp.tcl""]",upstream-openocd,56b8d93fbe61a78dc903d770820d6d896b6d8134,not_verified
Microchip,AT91SAM3U2C,tcl/target/at91sam3u2c.cfg,MCU,Auto-classified,flash_driver_declared,Concrete OpenOCD Flash driver resolved statically,"[""at91sam3""]","[{""declaration_file"":""tcl/target/at91sam3u2c.cfg"",""bank"":""$_FLASHNAME"",""driver"":""at91sam3"",""base"":""0x000080000""}]","[""tcl/target/at91sam3u2c.cfg"",""tcl/target/at91sam3uxx.cfg"",""tcl/target/at91sam3XXX.cfg"",""tcl/target/swj-dp.tcl""]",upstream-openocd,56b8d93fbe61a78dc903d770820d6d896b6d8134,not_verified
Microchip,AT91SAM3U2E,tcl/target/at91sam3u2e.cfg,MCU,Auto-classified,flash_driver_declared,Concrete OpenOCD Flash driver resolved statically,"[""at91sam3""]","[{""declaration_file"":""tcl/target/at91sam3u2e.cfg"",""bank"":""$_FLASHNAME"",""driver"":""at91sam3"",""base"":""0x000080000""}]","[""tcl/target/at91sam3u2e.cfg"",""tcl/target/at91sam3uxx.cfg"",""tcl/target/at91sam3XXX.cfg"",""tcl/target/swj-dp.tcl""]",upstream-openocd,56b8d93fbe61a78dc903d770820d6d896b6d8134,not_verified
Microchip,AT91SAM3U4C,tcl/target/at91sam3u4c.cfg,MCU,Auto-classified,flash_driver_declared,Concrete OpenOCD Flash driver resolved statically,"[""at91sam3""]","[{""declaration_file"":""tcl/target/at91sam3u4c.cfg"",""bank"":""$_FLASHNAME"",""driver"":""at91sam3"",""base"":""0x000080000""},{""declaration_file"":""tcl/target/at91sam3u4c.cfg"",""bank"":""$_FLASHNAME"",""driver"":""at91sam3"",""base"":""0x000100000""}]","[""tcl/target/at91sam3u4c.cfg"",""tcl/target/at91sam3uxx.cfg"",""tcl/target/at91sam3XXX.cfg"",""tcl/target/swj-dp.tcl""]",upstream-openocd,56b8d93fbe61a78dc903d770820d6d896b6d8134,not_verified
Microchip,AT91SAM3U4E,tcl/target/at91sam3u4e.cfg,MCU,Auto-classified,flash_driver_declared,Concrete OpenOCD Flash driver resolved statically,"[""at91sam3""]","[{""declaration_file"":""tcl/target/at91sam3u4e.cfg"",""bank"":""$_FLASHNAME"",""driver"":""at91sam3"",""base"":""0x000080000""},{""declaration_file"":""tcl/target/at91sam3u4e.cfg"",""bank"":""$_FLASHNAME"",""driver"":""at91sam3"",""base"":""0x000100000""}]","[""tcl/target/at91sam3u4e.cfg"",""tcl/target/at91sam3uxx.cfg"",""tcl/target/at91sam3XXX.cfg"",""tcl/target/swj-dp.tcl""]",upstream-openocd,56b8d93fbe61a78dc903d770820d6d896b6d8134,not_verified
Microchip,AT91SAM4C32X,tcl/target/at91sam4c32x.cfg,MCU,Auto-classified,flash_driver_declared,Concrete OpenOCD Flash driver resolved statically,"[""at91sam4""]","[{""declaration_file"":""tcl/target/at91sam4c32x.cfg"",""bank"":""$_FLASHNAME"",""driver"":""at91sam4"",""base"":""0x01000000""},{""declaration_file"":""tcl/target/at91sam4c32x.cfg"",""bank"":""$_FLASHNAME"",""driver"":""at91sam4"",""base"":""0x01100000""}]","[""tcl/target/at91sam4c32x.cfg"",""tcl/target/at91sam4XXX.cfg"",""tcl/target/swj-dp.tcl""]",upstream-openocd,56b8d93fbe61a78dc903d770820d6d896b6d8134,not_verified
Microchip,AT91SAM4CX,tcl/target/at91sam4cXXX.cfg,MCU,Auto-classified,flash_driver_declared,Concrete OpenOCD Flash driver resolved statically,"[""at91sam4""]","[{""declaration_file"":""tcl/target/at91sam4cXXX.cfg"",""bank"":""$_FLASHNAME"",""driver"":""at91sam4"",""base"":""0x01000000""}]","[""tcl/target/at91sam4cXXX.cfg"",""tcl/target/at91sam4XXX.cfg"",""tcl/target/swj-dp.tcl""]",upstream-openocd,56b8d93fbe61a78dc903d770820d6d896b6d8134,not_verified
