vendor,part_number,identifier_kind,cpu_architectures,target_config,openocd_distribution,mapping_status,validation_status,catalog_origin
Artery,AT32F421G8U7,manufacturer_part_number,"[""ARM Cortex-M""]",tcl/target/artery/at32f4x.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Artery,AT32F421K4T7,manufacturer_part_number,"[""ARM Cortex-M""]",tcl/target/artery/at32f4x.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Artery,AT32F421K4U7,manufacturer_part_number,"[""ARM Cortex-M""]",tcl/target/artery/at32f4x.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Artery,AT32F421K4U7-4,manufacturer_part_number,"[""ARM Cortex-M""]",tcl/target/artery/at32f4x.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Artery,AT32F421K6T7,manufacturer_part_number,"[""ARM Cortex-M""]",tcl/target/artery/at32f4x.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Artery,AT32F421K6U7,manufacturer_part_number,"[""ARM Cortex-M""]",tcl/target/artery/at32f4x.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Artery,AT32F421K6U7-4,manufacturer_part_number,"[""ARM Cortex-M""]",tcl/target/artery/at32f4x.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Artery,AT32F421K8T7,manufacturer_part_number,"[""ARM Cortex-M""]",tcl/target/artery/at32f4x.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Artery,AT32F421K8U7,manufacturer_part_number,"[""ARM Cortex-M""]",tcl/target/artery/at32f4x.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Artery,AT32F421K8U7-4,manufacturer_part_number,"[""ARM Cortex-M""]",tcl/target/artery/at32f4x.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Artery,AT32F423C8T7,manufacturer_part_number,"[""ARM Cortex-M""]",tcl/target/artery/at32f4x.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Artery,AT32F423C8U7,manufacturer_part_number,"[""ARM Cortex-M""]",tcl/target/artery/at32f4x.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Artery,AT32F423CBT7,manufacturer_part_number,"[""ARM Cortex-M""]",tcl/target/artery/at32f4x.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Artery,AT32F423CBU7,manufacturer_part_number,"[""ARM Cortex-M""]",tcl/target/artery/at32f4x.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Artery,AT32F423CCT7,manufacturer_part_number,"[""ARM Cortex-M""]",tcl/target/artery/at32f4x.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Artery,AT32F423CCU7,manufacturer_part_number,"[""ARM Cortex-M""]",tcl/target/artery/at32f4x.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Artery,AT32F423K8U7-4,manufacturer_part_number,"[""ARM Cortex-M""]",tcl/target/artery/at32f4x.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Artery,AT32F423KBU7-4,manufacturer_part_number,"[""ARM Cortex-M""]",tcl/target/artery/at32f4x.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Artery,AT32F423KCU7-4,manufacturer_part_number,"[""ARM Cortex-M""]",tcl/target/artery/at32f4x.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Artery,AT32F423R8T7,manufacturer_part_number,"[""ARM Cortex-M""]",tcl/target/artery/at32f4x.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Artery,AT32F423R8T7-7,manufacturer_part_number,"[""ARM Cortex-M""]",tcl/target/artery/at32f4x.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Artery,AT32F423RBT7,manufacturer_part_number,"[""ARM Cortex-M""]",tcl/target/artery/at32f4x.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Artery,AT32F423RBT7-7,manufacturer_part_number,"[""ARM Cortex-M""]",tcl/target/artery/at32f4x.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Artery,AT32F423RCT7,manufacturer_part_number,"[""ARM Cortex-M""]",tcl/target/artery/at32f4x.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Artery,AT32F423RCT7-7,manufacturer_part_number,"[""ARM Cortex-M""]",tcl/target/artery/at32f4x.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Artery,AT32F423T8U7,manufacturer_part_number,"[""ARM Cortex-M""]",tcl/target/artery/at32f4x.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Artery,AT32F423TBU7,manufacturer_part_number,"[""ARM Cortex-M""]",tcl/target/artery/at32f4x.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Artery,AT32F423TCU7,manufacturer_part_number,"[""ARM Cortex-M""]",tcl/target/artery/at32f4x.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Artery,AT32F423V8T7,manufacturer_part_number,"[""ARM Cortex-M""]",tcl/target/artery/at32f4x.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Artery,AT32F423VBT7,manufacturer_part_number,"[""ARM Cortex-M""]",tcl/target/artery/at32f4x.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Artery,AT32F423VCT7,manufacturer_part_number,"[""ARM Cortex-M""]",tcl/target/artery/at32f4x.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Artery,AT32F425C6T7,manufacturer_part_number,"[""ARM Cortex-M""]",tcl/target/artery/at32f4x.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Artery,AT32F425C6U7,manufacturer_part_number,"[""ARM Cortex-M""]",tcl/target/artery/at32f4x.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Artery,AT32F425C8T7,manufacturer_part_number,"[""ARM Cortex-M""]",tcl/target/artery/at32f4x.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Artery,AT32F425C8U7,manufacturer_part_number,"[""ARM Cortex-M""]",tcl/target/artery/at32f4x.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
